alias,canonical
USA,United States
COL,Colombia
U.S.A.,United States
United States of America,United States
Korea Republic,South Korea
KOR,South Korea
Republic of Korea,South Korea
Czech Republic,Czechia
CZE,Czechia
Bosnia-Herzegovina,Bosnia and Herzegovina
Bosnia,Bosnia and Herzegovina
DR Congo,DR Congo
CDR,DR Congo
COD,DR Congo
DRC,DR Congo
Congo DR,DR Congo
Democratic Republic of Congo,DR Congo
Ivory Coast,Ivory Coast
Côte d'Ivoire,Ivory Coast
Cote d'Ivoire,Ivory Coast
CIV,Ivory Coast
Bosnia-H.,Bosnia and Herzegovina
Curacao,Curaçao
Curaçao,Curaçao
CUW,Curaçao
IR Iran,Iran
IRI,Iran
KSA,Saudi Arabia
Turkiye,Turkey
Türkiye,Turkey
Turkey,Turkey
TUR,Turkey
